id,Tweet,time,Opinion
96,@JoeBiden Please read below this is from a friend in Sacramento and also know of 2 ladies in Napa with same scenari… ,Mon Jul 13 17:19:52 +0000 2020,Neutral
97,"Mondays Covid_19 COVIDTracker  fatalities, on the low side as hospital registrars don't work weekend, so spike Tu… ",Mon Jul 13 17:11:10 +0000 2020,Neutral
98,"@orfonline: The 10 countries that have recorded highest COVID19 cases in the world. 

USA, with 3,355,646 cases, remains the most infec…",Mon Jul 13 17:08:34 +0000 2020,Positive
99,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 17:05:29 +0000 2020,Neutral
100,"@orfonline: DailyUpdates IndiaFightsCoronavirus  

Visit ORF's COVIDTracker: State-wise distribution of COV…",Mon Jul 13 16:46:32 +0000 2020,Neutral
101,"@orfonline: Tracking five Indian states that have the most COVID19 infections.

CoronaTracker DailyUpdates IndiaFightsCoronavirus…",Mon Jul 13 16:33:34 +0000 2020,Positive
102,"@marty713: Won't let me upload the full video 
Mike Oldfield Wrote the 🎵 for the Exorcist too 👇👀 WAKE UP 🇺🇲🌏
CovidHoax CovidTracker 🤬💥…",Mon Jul 13 16:31:02 +0000 2020,Positive
103,"@DHSCgovuk @PHE_uk Rnumber at 1.14

coronavirus coronavirusuk coronavirusUSA… ",Mon Jul 13 15:41:42 +0000 2020,Neutral
104,"@sportireland: There are two ways to download the CovidTracker app

1: Go to ",Mon Jul 13 14:32:38 +0000 2020,Neutral
105,@HSELive The COVID Tracker app is now available to download. It will help in the fight against coronavirus. Play yo… ,Mon Jul 13 14:25:45 +0000 2020,Positive
106,"@sdublincoco: Using the covidtracker app along with the existing public health measures will help us all staysafe when we meet up, soc…",Mon Jul 13 14:07:16 +0000 2020,Neutral
107,"@marty713: Won't let me upload the full video 
Mike Oldfield Wrote the 🎵 for the Exorcist too 👇👀 WAKE UP 🇺🇲🌏
CovidHoax CovidTracker 🤬💥…",Mon Jul 13 13:47:39 +0000 2020,Positive
108,@twisteddoodles: Why the COVID tracker app is pretty snazzy CovidTracker ,Mon Jul 13 13:43:56 +0000 2020,Positive
109,"@orfonline: The 10 countries that have recorded highest COVID19 cases in the world. 

Brazil, with 1,866,176 cases, remains the second…",Mon Jul 13 13:37:29 +0000 2020,Neutral
110,"@orfonline: Confirmed COVID19 cases of top 10 African countries.

DailyUpdates

For more facts, figures and perspectives from ORF's C…",Mon Jul 13 13:37:25 +0000 2020,Positive
111,"@orfonline: Ten Indian states that have done the highest COVID19 testing.

CoronaTracker DailyUpdates IndiaFightsCoronavirus 

Visit…",Mon Jul 13 13:37:05 +0000 2020,Neutral
112,"@orfonline: Confirmed COVID19 cases in the Indian subcontinent.

DailyUpdates

For more compelling facts, figures and perspectives fro…",Mon Jul 13 13:36:58 +0000 2020,Positive
113,The COVID Tracker app is now available to download. It will help in the fight against coronavirus. Play your part i… ,Mon Jul 13 13:36:18 +0000 2020,Positive
114,Covid tracker covidtracker @ Dunshaughlin ,Mon Jul 13 13:34:27 +0000 2020,Neutral
115,Covid tracker covidtracker @ Dunshaughlin ,Mon Jul 13 13:34:03 +0000 2020,Neutral
116,"There are two ways to download the CovidTracker app

1: Go to ",Mon Jul 13 13:29:00 +0000 2020,Neutral
117,"@orfonline: The 10 countries that have recorded highest COVID19 cases in the world. 

USA, with 3,355,646 cases, remains the most infec…",Mon Jul 13 13:10:05 +0000 2020,Positive
118,Using the covidtracker app along with the existing public health measures will help us all staysafe when we meet… ,Mon Jul 13 13:00:11 +0000 2020,Neutral
